,Location,Indicator,Subject,Measure,Frequency,Time,Value,Country
114,ISL,TRADEGOODSERV,IMP,PC_GDP,A,2019,39.7799498157411,Iceland
115,ISL,TRADEGOODSERV,IMP,PC_GDP,A,2020,34.9733373984228,Iceland
118,IRL,TRADEGOODSERV,EXP,PC_GDP,A,2019,127.927930298707,Ireland
119,IRL,TRADEGOODSERV,EXP,PC_GDP,A,2020,131.11255983526,Ireland
120,IRL,TRADEGOODSERV,EXP,PC_GDP,A,2021,134.841572066656,Ireland
123,IRL,TRADEGOODSERV,IMP,PC_GDP,A,2019,124.407131892401,Ireland
124,IRL,TRADEGOODSERV,IMP,PC_GDP,A,2020,108.838469244491,Ireland
125,IRL,TRADEGOODSERV,IMP,PC_GDP,A,2021,94.5561659785372,Ireland
128,ITA,TRADEGOODSERV,EXP,PC_GDP,A,2019,31.602678297603,Italy
129,ITA,TRADEGOODSERV,EXP,PC_GDP,A,2020,29.5325109400603,Italy
130,ITA,TRADEGOODSERV,EXP,PC_GDP,A,2021,32.6273925230282,Italy
133,ITA,TRADEGOODSERV,IMP,PC_GDP,A,2019,28.2767918537434,Italy
134,ITA,TRADEGOODSERV,IMP,PC_GDP,A,2020,25.8701307761856,Italy
135,ITA,TRADEGOODSERV,IMP,PC_GDP,A,2021,29.9485055504901,Italy
138,JPN,TRADEGOODSERV,EXP,PC_GDP,A,2019,17.4453778322738,Japan
139,JPN,TRADEGOODSERV,EXP,PC_GDP,A,2020,15.5585542763298,Japan
142,JPN,TRADEGOODSERV,IMP,PC_GDP,A,2019,17.7344423690114,Japan
143,JPN,TRADEGOODSERV,IMP,PC_GDP,A,2020,15.8001573523187,Japan
146,KOR,TRADEGOODSERV,EXP,PC_GDP,A,2019,39.2758610673609,South Korea
147,KOR,TRADEGOODSERV,EXP,PC_GDP,A,2020,36.4458591055729,South Korea
150,KOR,TRADEGOODSERV,IMP,PC_GDP,A,2019,36.4812778978581,South Korea
151,KOR,TRADEGOODSERV,IMP,PC_GDP,A,2020,32.7696616159181,South Korea
154,LUX,TRADEGOODSERV,EXP,PC_GDP,A,2019,205.482077538516,Luxembourg
155,LUX,TRADEGOODSERV,EXP,PC_GDP,A,2020,204.690740682464,Luxembourg
156,LUX,TRADEGOODSERV,EXP,PC_GDP,A,2021,212.117151558876,Luxembourg
159,LUX,TRADEGOODSERV,IMP,PC_GDP,A,2019,174.622129572699,Luxembourg
160,LUX,TRADEGOODSERV,IMP,PC_GDP,A,2020,171.604294392982,Luxembourg
161,LUX,TRADEGOODSERV,IMP,PC_GDP,A,2021,176.730576790548,Luxembourg
164,MEX,TRADEGOODSERV,EXP,PC_GDP,A,2019,38.8092813307908,Mexico
165,MEX,TRADEGOODSERV,EXP,PC_GDP,A,2020,39.6030465121765,Mexico
168,MEX,TRADEGOODSERV,IMP,PC_GDP,A,2019,39.0639791777575,Mexico
169,MEX,TRADEGOODSERV,IMP,PC_GDP,A,2020,37.5557252363222,Mexico
172,NLD,TRADEGOODSERV,EXP,PC_GDP,A,2019,82.5377127008628,Netherlands
173,NLD,TRADEGOODSERV,EXP,PC_GDP,A,2020,77.8566295252439,Netherlands
174,NLD,TRADEGOODSERV,EXP,PC_GDP,A,2021,84.0176403628635,Netherlands
177,NLD,TRADEGOODSERV,IMP,PC_GDP,A,2019,72.7329639446286,Netherlands
178,NLD,TRADEGOODSERV,IMP,PC_GDP,A,2020,67.447990551122,Netherlands
179,NLD,TRADEGOODSERV,IMP,PC_GDP,A,2021,72.8482039559294,Netherlands
182,NZL,TRADEGOODSERV,EXP,PC_GDP,A,2019,27.318831856331,New Zealand
183,NZL,TRADEGOODSERV,EXP,PC_GDP,A,2020,21.866730227413,New Zealand
186,NZL,TRADEGOODSERV,IMP,PC_GDP,A,2019,27.0200359913201,New Zealand
187,NZL,TRADEGOODSERV,IMP,PC_GDP,A,2020,22.2548174767606,New Zealand
190,NOR,TRADEGOODSERV,EXP,PC_GDP,A,2019,36.2631065552701,Norway
191,NOR,TRADEGOODSERV,EXP,PC_GDP,A,2020,32.2452592790462,Norway
192,NOR,TRADEGOODSERV,EXP,PC_GDP,A,2021,41.5686606658955,Norway
195,NOR,TRADEGOODSERV,IMP,PC_GDP,A,2019,34.7812983024478,Norway
196,NOR,TRADEGOODSERV,IMP,PC_GDP,A,2020,33.0852196473199,Norway
197,NOR,TRADEGOODSERV,IMP,PC_GDP,A,2021,29.1123066966464,Norway
200,POL,TRADEGOODSERV,EXP,PC_GDP,A,2019,55.3958465881068,Poland
201,POL,TRADEGOODSERV,EXP,PC_GDP,A,2020,56.1843263464818,Poland
202,POL,TRADEGOODSERV,EXP,PC_GDP,A,2021,60.9067548894456,Poland
205,POL,TRADEGOODSERV,IMP,PC_GDP,A,2019,50.6394778647645,Poland
206,POL,TRADEGOODSERV,IMP,PC_GDP,A,2020,49.3911433404852,Poland
207,POL,TRADEGOODSERV,IMP,PC_GDP,A,2021,56.709001973411,Poland
210,PRT,TRADEGOODSERV,EXP,PC_GDP,A,2019,43.5084218458323,Portugal
211,PRT,TRADEGOODSERV,EXP,PC_GDP,A,2020,37.0322192576369,Portugal
212,PRT,TRADEGOODSERV,EXP,PC_GDP,A,2021,41.9679404819053,Portugal
215,PRT,TRADEGOODSERV,IMP,PC_GDP,A,2019,43.0562955633461,Portugal
216,PRT,TRADEGOODSERV,IMP,PC_GDP,A,2020,39.1444539051354,Portugal
217,PRT,TRADEGOODSERV,IMP,PC_GDP,A,2021,44.9601484566403,Portugal
220,SVK,TRADEGOODSERV,EXP,PC_GDP,A,2019,92.2647855909969,Slovakia
221,SVK,TRADEGOODSERV,EXP,PC_GDP,A,2020,85.4367747748779,Slovakia
222,SVK,TRADEGOODSERV,EXP,PC_GDP,A,2021,93.8589127675851,Slovakia
225,SVK,TRADEGOODSERV,IMP,PC_GDP,A,2019,91.8659074985651,Slovakia
226,SVK,TRADEGOODSERV,IMP,PC_GDP,A,2020,84.5103988843176,Slovakia
227,SVK,TRADEGOODSERV,IMP,PC_GDP,A,2021,94.4992164483724,Slovakia
230,ESP,TRADEGOODSERV,EXP,PC_GDP,A,2019,34.954655951783,Spain
231,ESP,TRADEGOODSERV,EXP,PC_GDP,A,2020,30.6209378687782,Spain
232,ESP,TRADEGOODSERV,EXP,PC_GDP,A,2021,34.5638465362254,Spain
235,ESP,TRADEGOODSERV,IMP,PC_GDP,A,2019,32.0246710195881,Spain
236,ESP,TRADEGOODSERV,IMP,PC_GDP,A,2020,29.1477858153854,Spain
237,ESP,TRADEGOODSERV,IMP,PC_GDP,A,2021,33.0921849984289,Spain
240,SWE,TRADEGOODSERV,EXP,PC_GDP,A,2019,47.8092109523511,Sweden
241,SWE,TRADEGOODSERV,EXP,PC_GDP,A,2020,44.5796532928676,Sweden
242,SWE,TRADEGOODSERV,EXP,PC_GDP,A,2021,46.256966069118,Sweden
245,SWE,TRADEGOODSERV,IMP,PC_GDP,A,2019,43.6246180157354,Sweden
246,SWE,TRADEGOODSERV,IMP,PC_GDP,A,2020,39.944286085517,Sweden
247,SWE,TRADEGOODSERV,IMP,PC_GDP,A,2021,41.9050509146273,Sweden
250,CHE,TRADEGOODSERV,EXP,PC_GDP,A,2019,65.5317043635331,Switzerland
251,CHE,TRADEGOODSERV,EXP,PC_GDP,A,2020,62.3420185793006,Switzerland
252,CHE,TRADEGOODSERV,EXP,PC_GDP,A,2021,69.9447166958452,Switzerland
255,CHE,TRADEGOODSERV,IMP,PC_GDP,A,2019,53.6838321948358,Switzerland
256,CHE,TRADEGOODSERV,IMP,PC_GDP,A,2020,53.5473810714638,Switzerland
257,CHE,TRADEGOODSERV,IMP,PC_GDP,A,2021,55.1615646640715,Switzerland
260,TUR,TRADEGOODSERV,EXP,PC_GDP,A,2019,32.5973545861246,Turkey
261,TUR,TRADEGOODSERV,EXP,PC_GDP,A,2020,28.6648559516615,Turkey
262,TUR,TRADEGOODSERV,EXP,PC_GDP,A,2021,35.3956283279095,Turkey
265,TUR,TRADEGOODSERV,IMP,PC_GDP,A,2019,30.0145261290846,Turkey
266,TUR,TRADEGOODSERV,IMP,PC_GDP,A,2020,32.4757475713119,Turkey
267,TUR,TRADEGOODSERV,IMP,PC_GDP,A,2021,35.8170961383278,Turkey
270,GBR,TRADEGOODSERV,EXP,PC_GDP,A,2019,31.0049780892243,United Kingdom
271,GBR,TRADEGOODSERV,EXP,PC_GDP,A,2020,28.1208336159313,United Kingdom
272,GBR,TRADEGOODSERV,EXP,PC_GDP,A,2021,26.7064681854641,United Kingdom
275,GBR,TRADEGOODSERV,IMP,PC_GDP,A,2019,31.9222909053986,United Kingdom
276,GBR,TRADEGOODSERV,IMP,PC_GDP,A,2020,27.9880203247538,United Kingdom
277,GBR,TRADEGOODSERV,IMP,PC_GDP,A,2021,27.9474143610795,United Kingdom
280,USA,TRADEGOODSERV,EXP,PC_GDP,A,2019,11.7895301559727,United States
281,USA,TRADEGOODSERV,EXP,PC_GDP,A,2020,10.162897548386,United States
284,USA,TRADEGOODSERV,IMP,PC_GDP,A,2019,14.579380254571,United States
285,USA,TRADEGOODSERV,IMP,PC_GDP,A,2020,13.279557433119,United States
288,CHL,TRADEGOODSERV,EXP,PC_GDP,A,2019,28.0231115885909,Chile
289,CHL,TRADEGOODSERV,EXP,PC_GDP,A,2020,31.5448682321323,Chile
292,CHL,TRADEGOODSERV,IMP,PC_GDP,A,2019,28.8513514165988,Chile
293,CHL,TRADEGOODSERV,IMP,PC_GDP,A,2020,26.2969679649576,Chile
296,CHN,TRADEGOODSERV,EXP,PC_GDP,A,2019,18.4151909276046,China
297,CHN,TRADEGOODSERV,EXP,PC_GDP,A,2020,18.4969182646218,China
300,CHN,TRADEGOODSERV,IMP,PC_GDP,A,2019,17.2648930717209,China
301,CHN,TRADEGOODSERV,IMP,PC_GDP,A,2020,16.0099843895487,China
304,EST,TRADEGOODSERV,EXP,PC_GDP,A,2019,74.0465862349163,Estonia
305,EST,TRADEGOODSERV,EXP,PC_GDP,A,2020,71.1758180529909,Estonia
306,EST,TRADEGOODSERV,EXP,PC_GDP,A,2021,80.5243314045208,Estonia
309,EST,TRADEGOODSERV,IMP,PC_GDP,A,2019,69.8905231069897,Estonia
310,EST,TRADEGOODSERV,IMP,PC_GDP,A,2020,70.69354523372,Estonia
311,EST,TRADEGOODSERV,IMP,PC_GDP,A,2021,80.2616094090448,Estonia
314,IND,TRADEGOODSERV,EXP,PC_GDP,A,2019,18.4293865080199,India
317,IND,TRADEGOODSERV,IMP,PC_GDP,A,2019,20.9573845344625,India
320,IDN,TRADEGOODSERV,EXP,PC_GDP,A,2019,18.5915277970902,Indonesia
321,IDN,TRADEGOODSERV,EXP,PC_GDP,A,2020,17.2714213388669,Indonesia
322,IDN,TRADEGOODSERV,EXP,PC_GDP,A,2021,21.5608110101503,Indonesia
325,IDN,TRADEGOODSERV,IMP,PC_GDP,A,2019,19.0362497386225,Indonesia
326,IDN,TRADEGOODSERV,IMP,PC_GDP,A,2020,15.7041742336216,Indonesia
327,IDN,TRADEGOODSERV,IMP,PC_GDP,A,2021,18.8619567220127,Indonesia
330,ISR,TRADEGOODSERV,EXP,PC_GDP,A,2019,29.5134379745036,Israel
331,ISR,TRADEGOODSERV,EXP,PC_GDP,A,2020,28.0316266638561,Israel
332,ISR,TRADEGOODSERV,EXP,PC_GDP,A,2021,29.7043906654056,Israel
335,ISR,TRADEGOODSERV,IMP,PC_GDP,A,2019,27.3219232646284,Israel
336,ISR,TRADEGOODSERV,IMP,PC_GDP,A,2020,23.3829826606953,Israel
337,ISR,TRADEGOODSERV,IMP,PC_GDP,A,2021,25.2635189178505,Israel
340,RUS,TRADEGOODSERV,EXP,PC_GDP,A,2019,28.5364175819116,Russia
341,RUS,TRADEGOODSERV,EXP,PC_GDP,A,2020,25.5231426016275,Russia
344,RUS,TRADEGOODSERV,IMP,PC_GDP,A,2019,20.9079844102229,Russia
345,RUS,TRADEGOODSERV,IMP,PC_GDP,A,2020,20.5599182436972,Russia
348,SVN,TRADEGOODSERV,EXP,PC_GDP,A,2019,83.963469779013,Slovenia
349,SVN,TRADEGOODSERV,EXP,PC_GDP,A,2020,77.8830121999858,Slovenia
350,SVN,TRADEGOODSERV,EXP,PC_GDP,A,2021,83.5286750486586,Slovenia
353,SVN,TRADEGOODSERV,IMP,PC_GDP,A,2019,75.3128544725922,Slovenia
354,SVN,TRADEGOODSERV,IMP,PC_GDP,A,2020,68.6578996717332,Slovenia
355,SVN,TRADEGOODSERV,IMP,PC_GDP,A,2021,78.2145130772977,Slovenia
358,ZAF,TRADEGOODSERV,EXP,PC_GDP,A,2019,29.8538392773691,South Africa
359,ZAF,TRADEGOODSERV,EXP,PC_GDP,A,2020,30.4669596274818,South Africa
362,ZAF,TRADEGOODSERV,IMP,PC_GDP,A,2019,29.3506967813771,South Africa
363,ZAF,TRADEGOODSERV,IMP,PC_GDP,A,2020,25.5305082562611,South Africa
386,BRA,TRADEGOODSERV,EXP,PC_GDP,A,2019,14.1229191903622,Brazil
389,BRA,TRADEGOODSERV,IMP,PC_GDP,A,2019,14.7673386762259,Brazil
392,LVA,TRADEGOODSERV,EXP,PC_GDP,A,2019,59.8369731520854,Latvia
393,LVA,TRADEGOODSERV,EXP,PC_GDP,A,2020,60.4877492570839,Latvia
394,LVA,TRADEGOODSERV,EXP,PC_GDP,A,2021,63.9534221016318,Latvia
397,LVA,TRADEGOODSERV,IMP,PC_GDP,A,2019,60.542116998402,Latvia
398,LVA,TRADEGOODSERV,IMP,PC_GDP,A,2020,59.3121404165114,Latvia
399,LVA,TRADEGOODSERV,IMP,PC_GDP,A,2021,66.0289855354248,Latvia
402,COL,TRADEGOODSERV,EXP,PC_GDP,A,2019,15.852321935617,Colombia
403,COL,TRADEGOODSERV,EXP,PC_GDP,A,2020,13.5213864523702,Colombia
406,COL,TRADEGOODSERV,IMP,PC_GDP,A,2019,21.6690116754106,Colombia
407,COL,TRADEGOODSERV,IMP,PC_GDP,A,2020,20.1322674747585,Colombia
410,CRI,TRADEGOODSERV,EXP,PC_GDP,A,2019,33.8492846018957,Costa Rica
411,CRI,TRADEGOODSERV,EXP,PC_GDP,A,2020,31.3675430016145,Costa Rica
414,CRI,TRADEGOODSERV,IMP,PC_GDP,A,2019,31.2701781682481,Costa Rica
415,CRI,TRADEGOODSERV,IMP,PC_GDP,A,2020,29.0168526107736,Costa Rica
418,LTU,TRADEGOODSERV,EXP,PC_GDP,A,2019,77.3147772912166,Lithuania
419,LTU,TRADEGOODSERV,EXP,PC_GDP,A,2020,73.5014369665534,Lithuania
420,LTU,TRADEGOODSERV,EXP,PC_GDP,A,2021,79.333549089209,Lithuania
423,LTU,TRADEGOODSERV,IMP,PC_GDP,A,2019,72.0538955534954,Lithuania
424,LTU,TRADEGOODSERV,IMP,PC_GDP,A,2020,64.2157413442919,Lithuania
425,LTU,TRADEGOODSERV,IMP,PC_GDP,A,2021,75.460711582685,Lithuania
